Episode 167 | Reward 28.37 | Avg Loss 0.0130 | Epsilon 0.714
Episode 168 | Reward 35.00 | Avg Loss 0.0138 | Epsilon 0.713
Episode 169 | Reward 13.49 | Avg Loss 0.0130 | Epsilon 0.712
Episode 170 | Reward 25.73 | Avg Loss 0.0133 | Epsilon 0.710
Episode 171 | Reward 23.25 | Avg Loss 0.0163 | Epsilon 0.709
Episode 172 | Reward 29.09 | Avg Loss 0.0130 | Epsilon 0.707
Episode 173 | Reward 31.66 | Avg Loss 0.0139 | Epsilon 0.706
Episode 174 | Reward 29.24 | Avg Loss 0.0133 | Epsilon 0.704
Episode 175 | Reward 31.08 | Avg Loss 0.0133 | Epsilon 0.703
Episode 176 | Reward 24.41 | Avg Loss 0.0141 | Epsilon 0.702
Episode 177 | Reward 32.40 | Avg Loss 0.0145 | Epsilon 0.700
Episode 178 | Reward 24.92 | Avg Loss 0.0129 | Epsilon 0.699
Episode 179 | Reward 27.58 | Avg Loss 0.0132 | Epsilon 0.697
Episode 180 | Reward 26.42 | Avg Loss 0.0135 | Epsilon 0.696
Episode 181 | Reward 25.07 | Avg Loss 0.0154 | Epsilon 0.695
Episode 182 | Reward 30.65 | Avg Loss 0.0142 | Epsilon 0.693
Episode 183 | Reward 23.36 | Avg Loss 0.0140 | Epsilon 0.692
Episode 184 | Reward 25.70 | Avg Loss 0.0139 | Epsilon 0.690
Episode 185 | Reward 27.53 | Avg Loss 0.0134 | Epsilon 0.689
Episode 186 | Reward 36.48 | Avg Loss 0.0139 | Epsilon 0.688
Episode 187 | Reward 33.14 | Avg Loss 0.0134 | Epsilon 0.686
Episode 188 | Reward 26.03 | Avg Loss 0.0143 | Epsilon 0.685
Episode 189 | Reward 19.26 | Avg Loss 0.0136 | Epsilon 0.684
Episode 190 | Reward 29.07 | Avg Loss 0.0146 | Epsilon 0.682
Episode 191 | Reward 35.64 | Avg Loss 0.0152 | Epsilon 0.681
Episode 192 | Reward 38.03 | Avg Loss 0.0139 | Epsilon 0.680
Episode 193 | Reward 26.31 | Avg Loss 0.0138 | Epsilon 0.678
Episode 194 | Reward 39.07 | Avg Loss 0.0134 | Epsilon 0.677
Episode 195 | Reward 29.38 | Avg Loss 0.0140 | Epsilon 0.675
Episode 196 | Reward 25.61 | Avg Loss 0.0141 | Epsilon 0.674
Episode 197 | Reward 36.42 | Avg Loss 0.0146 | Epsilon 0.673
Episode 198 | Reward 28.67 | Avg Loss 0.0138 | Epsilon 0.671
Episode 199 | Reward 28.07 | Avg Loss 0.0139 | Epsilon 0.670
Episode 200 | Reward 32.34 | Avg Loss 0.0149 | Epsilon 0.669
Episode 201 | Reward 28.43 | Avg Loss 0.0165 | Epsilon 0.667
Episode 202 | Reward 25.06 | Avg Loss 0.0144 | Epsilon 0.666
Episode 203 | Reward 36.31 | Avg Loss 0.0141 | Epsilon 0.665
Episode 204 | Reward 27.75 | Avg Loss 0.0143 | Epsilon 0.663
Episode 205 | Reward 26.66 | Avg Loss 0.0147 | Epsilon 0.662
Episode 206 | Reward 28.35 | Avg Loss 0.0147 | Epsilon 0.661
Episode 207 | Reward 31.12 | Avg Loss 0.0153 | Epsilon 0.659
Episode 208 | Reward 30.08 | Avg Loss 0.0145 | Epsilon 0.658
Episode 209 | Reward 33.07 | Avg Loss 0.0150 | Epsilon 0.657
Episode 210 | Reward 24.45 | Avg Loss 0.0132 | Epsilon 0.655
Episode 211 | Reward 32.76 | Avg Loss 0.0181 | Epsilon 0.654
Episode 212 | Reward 37.09 | Avg Loss 0.0155 | Epsilon 0.653
Episode 213 | Reward 38.72 | Avg Loss 0.0161 | Epsilon 0.652
Episode 214 | Reward 27.07 | Avg Loss 0.0159 | Epsilon 0.650
Episode 215 | Reward 32.12 | Avg Loss 0.0171 | Epsilon 0.649
Episode 216 | Reward 28.13 | Avg Loss 0.0163 | Epsilon 0.648
Episode 217 | Reward 23.99 | Avg Loss 0.0158 | Epsilon 0.646
Episode 218 | Reward 33.30 | Avg Loss 0.0164 | Epsilon 0.645
Episode 219 | Reward 30.37 | Avg Loss 0.0159 | Epsilon 0.644
Episode 220 | Reward 39.10 | Avg Loss 0.0161 | Epsilon 0.642
Episode 221 | Reward 34.04 | Avg Loss 0.0175 | Epsilon 0.641
Episode 222 | Reward 37.32 | Avg Loss 0.0157 | Epsilon 0.640
Episode 223 | Reward 39.13 | Avg Loss 0.0152 | Epsilon 0.639
Episode 224 | Reward 37.01 | Avg Loss 0.0157 | Epsilon 0.637
Episode 225 | Reward 25.29 | Avg Loss 0.0158 | Epsilon 0.636
Episode 226 | Reward 36.10 | Avg Loss 0.0151 | Epsilon 0.635
Episode 227 | Reward 26.25 | Avg Loss 0.0151 | Epsilon 0.634
Episode 228 | Reward 31.55 | Avg Loss 0.0154 | Epsilon 0.632
Episode 229 | Reward 32.77 | Avg Loss 0.0151 | Epsilon 0.631
Episode 230 | Reward 35.43 | Avg Loss 0.0158 | Epsilon 0.630
Episode 231 | Reward 32.68 | Avg Loss 0.0170 | Epsilon 0.628
Episode 232 | Reward 35.64 | Avg Loss 0.0158 | Epsilon 0.627
Episode 233 | Reward 36.74 | Avg Loss 0.0153 | Epsilon 0.626
Episode 234 | Reward 28.95 | Avg Loss 0.0159 | Epsilon 0.625
Episode 235 | Reward 36.46 | Avg Loss 0.0160 | Epsilon 0.623
Episode 236 | Reward 37.54 | Avg Loss 0.0156 | Epsilon 0.622
Episode 237 | Reward 33.20 | Avg Loss 0.0150 | Epsilon 0.621
Episode 238 | Reward 35.45 | Avg Loss 0.0156 | Epsilon 0.620
Episode 239 | Reward 36.64 | Avg Loss 0.0160 | Epsilon 0.618
Episode 240 | Reward 31.20 | Avg Loss 0.0158 | Epsilon 0.617
Episode 241 | Reward 33.37 | Avg Loss 0.0176 | Epsilon 0.616
Episode 242 | Reward 33.76 | Avg Loss 0.0164 | Epsilon 0.615
Episode 243 | Reward 37.53 | Avg Loss 0.0166 | Epsilon 0.614
Episode 244 | Reward 28.93 | Avg Loss 0.0169 | Epsilon 0.612
Episode 245 | Reward 34.33 | Avg Loss 0.0174 | Epsilon 0.611
Episode 246 | Reward 33.04 | Avg Loss 0.0167 | Epsilon 0.610
Episode 247 | Reward 34.43 | Avg Loss 0.0163 | Epsilon 0.609
Episode 248 | Reward 35.12 | Avg Loss 0.0160 | Epsilon 0.607
Episode 249 | Reward 39.43 | Avg Loss 0.0170 | Epsilon 0.606
Episode 250 | Reward 33.98 | Avg Loss 0.0167 | Epsilon 0.605
Episode 251 | Reward 36.12 | Avg Loss 0.0172 | Epsilon 0.604
Episode 252 | Reward 27.95 | Avg Loss 0.0171 | Epsilon 0.603
Episode 253 | Reward 36.23 | Avg Loss 0.0162 | Epsilon 0.601
Episode 254 | Reward 30.62 | Avg Loss 0.0168 | Epsilon 0.600
Episode 255 | Reward 34.95 | Avg Loss 0.0173 | Epsilon 0.599
Episode 256 | Reward 31.63 | Avg Loss 0.0168 | Epsilon 0.598
Episode 257 | Reward 33.00 | Avg Loss 0.0173 | Epsilon 0.597
Episode 258 | Reward 28.94 | Avg Loss 0.0170 | Epsilon 0.595
Episode 259 | Reward 36.45 | Avg Loss 0.0168 | Epsilon 0.594
Episode 260 | Reward 28.86 | Avg Loss 0.0163 | Epsilon 0.593
Episode 261 | Reward 40.31 | Avg Loss 0.0158 | Epsilon 0.592
Episode 262 | Reward 33.88 | Avg Loss 0.0157 | Epsilon 0.591
Episode 263 | Reward 38.59 | Avg Loss 0.0159 | Epsilon 0.589
Episode 264 | Reward 42.41 | Avg Loss 0.0148 | Epsilon 0.588
Episode 265 | Reward 27.53 | Avg Loss 0.0154 | Epsilon 0.587
Episode 266 | Reward 33.15 | Avg Loss 0.0166 | Epsilon 0.586
